id_test,function_name,array_length,comparison,Swaps,time,space
0,selection_sort,100,4950,94,0.2025446891784668,0.0
0,bubble_sort,100,4950,0,0.20186662673950195,0.0
0,insertion_sort_shifting,100,0,0,0.20071101188659668,0.0
0,insertion_sort_exchange,100,99,0,0.20146560668945312,0.0
1,selection_sort,100,4950,97,0.20172429084777832,0.0
1,bubble_sort,100,4950,0,0.20214056968688965,0.0
1,insertion_sort_shifting,100,0,0,0.20049834251403809,0.0
1,insertion_sort_exchange,100,99,0,0.20130562782287598,0.0
2,selection_sort,100,4950,94,0.20212841033935547,0.0
2,bubble_sort,100,4950,0,0.20130157470703125,0.0
2,insertion_sort_shifting,100,0,0,0.20126867294311523,0.0
2,insertion_sort_exchange,100,99,0,0.20049142837524414,0.0
3,selection_sort,300,44850,295,0.2090606689453125,0.0
3,bubble_sort,300,44850,0,0.2092442512512207,0.0
3,insertion_sort_shifting,300,0,0,0.20131278038024902,0.0
3,insertion_sort_exchange,300,299,0,0.20183920860290527,0.0
4,selection_sort,300,44850,293,0.20888590812683105,0.0
4,bubble_sort,300,44850,0,0.20865845680236816,0.0
4,insertion_sort_shifting,300,0,0,0.2005019187927246,0.0
4,insertion_sort_exchange,300,299,0,0.20198655128479004,0.0
5,selection_sort,300,44850,294,0.2083892822265625,0.0
5,bubble_sort,300,44850,0,0.21015214920043945,0.0
5,insertion_sort_shifting,300,0,0,0.2004706859588623,0.0
5,insertion_sort_exchange,300,299,0,0.20087838172912598,0.0
6,selection_sort,500,124750,496,0.22317767143249512,0.0
6,bubble_sort,500,124750,0,0.22340011596679688,0.0
6,insertion_sort_shifting,500,0,0,0.2005021572113037,0.0
6,insertion_sort_exchange,500,499,0,0.20054101943969727,0.0
7,selection_sort,500,124750,495,0.22263193130493164,0.0
7,bubble_sort,500,124750,0,0.22396612167358398,0.0
7,insertion_sort_shifting,500,0,0,0.20054888725280762,0.0
7,insertion_sort_exchange,500,499,0,0.20148587226867676,0.0
8,selection_sort,500,124750,495,0.22455954551696777,0.0
8,bubble_sort,500,124750,0,0.22472906112670898,0.0
8,insertion_sort_shifting,500,0,0,0.20114493370056152,0.0
8,insertion_sort_exchange,500,499,0,0.2012789249420166,0.00390625
9,selection_sort,700,244650,695,0.2469935417175293,0.0
9,bubble_sort,700,244650,0,0.2473773956298828,0.0
9,insertion_sort_shifting,700,0,0,0.20063138008117676,0.0
9,insertion_sort_exchange,700,699,0,0.2009875774383545,0.0
10,selection_sort,700,244650,692,0.24805498123168945,0.0
10,bubble_sort,700,244650,0,0.248762845993042,0.00390625
10,insertion_sort_shifting,700,0,0,0.20148897171020508,0.0
10,insertion_sort_exchange,700,699,0,0.2015998363494873,0.0
11,selection_sort,700,244650,693,0.24698615074157715,0.0
11,bubble_sort,700,244650,0,0.24599528312683105,0.0
11,insertion_sort_shifting,700,0,0,0.2012007236480713,0.0
11,insertion_sort_exchange,700,699,0,0.2013993263244629,0.00390625
12,selection_sort,900,404550,889,0.2805511951446533,0.0
12,bubble_sort,900,404550,0,0.27727627754211426,0.0
12,insertion_sort_shifting,900,0,0,0.20146489143371582,0.0
12,insertion_sort_exchange,900,899,0,0.20118188858032227,0.0
13,selection_sort,900,404550,893,0.2769341468811035,0.0
13,bubble_sort,900,404550,0,0.2761669158935547,0.0
13,insertion_sort_shifting,900,0,0,0.20139479637145996,0.0
13,insertion_sort_exchange,900,899,0,0.20143985748291016,0.0
14,selection_sort,900,404550,894,0.27789759635925293,0.0
14,bubble_sort,900,404550,0,0.27556753158569336,0.0
14,insertion_sort_shifting,900,0,0,0.20080852508544922,0.0
14,insertion_sort_exchange,900,899,0,0.2014455795288086,0.0
